arm,seed,i,cls,offset,heading,mc,n_base
A,42,4172,two_row,0.21176311567037898,2.8235693382277707,0.04932051427740186,30
A,42,4173,two_row,0.16866921636699594,4.075250559416846,0.0712467260117842,28
A,42,4174,two_row,0.23578857989766644,2.586570345533989,0.04517486176331877,25
A,42,4175,two_row,0.21996436368966243,3.0182893372986497,0.052727870534589494,25
A,42,4176,two_row,0.1973703198011988,3.054988467720631,0.053370193767963606,29
A,42,4177,two_row,0.18171124883136613,3.3968699637676902,0.05935612498254816,28
A,42,4178,two_row,0.18418184604532606,3.338978629772491,0.05834223128672506,34
A,42,4179,two_row,0.1724038548548953,3.3004206237304667,0.057667002891190894,31
A,42,4180,two_row,0.18142123537434873,3.444124769656436,0.06018382336406235,32
A,42,4181,two_row,0.2022292448489652,3.374897789825686,0.058971295862884354,31
A,42,4182,two_row,0.22864478562667223,3.1918113222260684,0.05576531483065827,32
A,42,4183,two_row,0.22647793819347484,3.450729965699653,0.06029952414961167,32
A,42,4184,two_row,0.24310036386120165,3.4724120474309865,0.06067933251036842,29
A,42,4185,two_row,0.2499457154578884,2.8972963166163583,0.05061050548421078,31
A,42,4186,two_row,0.23524220600226226,2.911719303071013,0.05086288208994873,31
A,42,4187,two_row,0.19010702347709774,3.6730939408792582,0.06419555035135675,32
